tweet,sarcastic,rephrase,dialect
 ياربّ كلما رفعت أمي يدها لك أبسِط لها كنوزك و أسعدها و أطل عمرها ❤️.. ,0,,msa
أنا ضد الرقابة الإدارية على الإبداع الفني و الثقافي,0,,msa
 القنوات القاقلة لمباراة ريال مدريد وكلوب امريكا بث مباشر فى نصف نهائى كأس ,0,,msa
 عندما يغيب العقلأ وأهل الحكمه ويظهرصغار القوم ليقودو الناس فا المصير سيكون الدمار والدماءوالله أن القلب ليقطر دم على حالنا اليمن تعز نهم ,0,,msa
تواجدي خارج المملكة منعني مشاركتهم في تجهيز التيفو واعرف حجم التعب واﻻرهاق اللي يعانوه حالياً ويارب ﻻتضيع لهم تعب  الالتراس,0,,msa
على سبيل  السعاده انا صديق مجدى,0,,msa
حلوان وروكسي وعين شمس بورسعيد وبنى سويف والمنيا والفيوم والسويس شكرا حشودكم شعب مصر عظيم,0,,msa
  لبنان/ وزير خارجية  كندا ونواب كنديون من أصل لبناني في  بيت الوسط  عاجل بابليك برس ,0,,msa
الله يبركلك يا دكتور ابو الفتوح  ,0,,msa
النوم لا يجافيني . جميع افكار وتخيلات  هاري بوتر   تقبع الآن في دماغي !! ,0,,msa
 شعور جميل لما تكون فاضي وتفتح برنامج  اوبر وتقعد تخدم الناس بغض النظر عن المادة اللي تحصلها ويركبون معك ناس فلاوويه 😂 ,0,,egypt
عبد المنعم ابو الفتوح اعداء المصريون فى الخارج والداخل يدبرون مؤامرات لاجهاض ثورة يناير    ,0,,egypt
 مادري منو قايل حق البنات انه كشه ميريام فارس حلوه ولازم تسونها كل يوم وتلوعون جبدنا فيها يا اختي سويه كبه اذا ماتبين تسوينه يعني ,0,,levant
 تكثير وهدم  محطة قطارات اسوان دون الانتهاء قبل الموسم السياحي هي مؤامرة واضحة للعيان لضرب الموسم السياحي الشتوي  اسوان  عمرو اديب  مصر ,0,,msa
الرمز الانتخابى لل  السيسي  السيسي رئيسي 2014,0,,msa
:))  باسم يوسف  البرنامج,0,,egypt
88%  من قضايا الابتزاز في السعودية سببها مقاطع وصور البنات  الجوف  دومة  القريات  سكاكا  سكاكا ال…,0,,msa
كرستيانو رونالدو يفصله 75 هدف ليصبح الهداف التاريخي الاول في ريال مدريد  اسطورة,0,,msa
بالصور كارثة عقارية جديدة بالاسكندرية عقار جديد يميل بدرجة 10 سم و يهدد العقارات المجاروة,0,,egypt
الأسواني:لماذا تصر الولايات المتحدة على استمرارها في دعم مرسي للنهاية رغم قتله للمصريين وقمعه للتظاهرات,0,,msa
 بعد قليل  الجبير يلتقي  ابوالغيط في الجامعة العربية ب  القاهرة  مصر  سوريا  السعودية ,0,,msa
ربما اسىء فهم اشارة فى النص متعلقة بالحوار مع البرلمانات و انا لم اطلب التدخل مع هذه البرلمانات و لكن بالحوار بين المنظمات  ,0,,egypt
 حسب غنية نانسي الجديدة عم حسها بدها تسرق لون  اليسا بالأغاني ,0,,egypt
عن  الفرح  اللمة  الخروج  ضحك السنين  الغني  التصوير  اللف بالعربيه  الشارع  للصبح  الخبرة  عمر المسخرة  الانبساط يوم فشيخ,0,,egypt
قل لا للدستور تنقذ مصر من العنصرية والدسكتاتورية والتقسيم,0,,msa
  ريال مدريد يلعب كأس العالم والبرشا مع الاهلي السعودي هنا نجد الفرق بين أفضل فريق بالعالم والأندية الاخرى ,0,,msa
 الاسلام يحتاج للميديا بشتى انواعهامن افلام واخبار وكتبلتوضح الصورة المشوهة من قبل الاعلام الغربي  منظمه التعاون الاسلامي ,0,,msa
 احمد الشيخ🙈  احتفظ يااهلي بالصداره ,0,,msa
لا تجبر الإنسان ولا تخيره يكفيه ما فيه من عقل بيحيره اللي النهارده بيطلبه ويشتهيه هو اللي بكره ح يشتهي يغيره عجبي !!  صلاح جاهين,0,,egypt
انا فعلا نفسي تحصل منظره بين  حمدين و  السيسي,0,,egypt
يوم 7/7، يوم هام في مشروع (العلم قوة) وهدفه جذب وتسكين 100 ألف أمي داخل الفصول، في يوم واحد، عن طريق 10 ألاف,0,,msa
 اول مرة من عرفت معرض الكتاب زحمة ومن جهات المعرض كلها  معرض الكويت الدولي للكتاب ,0,,msa
احببت فيك هذا الضني الناطق المعبر انها الانسانية كلها في قلب رجل  مصطفي محمود  ضي,0,,msa
لا اعرف الدكتور هشام قنديل و من عدم الإنصاف ان نحكم عليه قبل ان يبدأ لننتظر التشكيل الوزاري و نعطيه فرصة ليعمل ثم نقيم اداءه,0,,msa
3 شكرا للتعديل,0,,msa
أنت وَطن بنيتُ فِيه جَميع أمنِياتي ، وجَاء ذات ليلةٍ مُظلمة أحتل ذلك الوطن ومِن بعدها أصبحتُ غريب يتسكعُ بين الأحرُف باحثًا عن مَلجأ  سري,0,,msa
 بوابة  اليمن الاخبارية | تعز اشتباكات هي الاعنف بالاسلحه المتوسطه والمدفعيه في مديرية الصلو .اللهم احفظ الابرياء والمواطنين. ,0,,msa
 إستفتاء:هل تشبه شقيقة ميريام فارس النجمة إليسا؟ ,0,,msa
محاربة الظلم بالظلمستنتهي بظلم الطرفين  اخوان  عسكر,0,,msa
 رصد| العاملون بإسعاف  دمنهور يهدّدون بالإضراب الشامل هدّد عدد من العاملين بإسعاف دمنهور، اليوم,0,,msa
  مشهور يستاهل الشهره  بيونسيه ✋ ,0,,gulf
 هااااااااااااام. لافروف.. في حال رفض الارهابيون الخروج طوعا من  حلب سيتم تدميرهم. ,0,,msa
سلام اناابنة استاذايمن شويقي أوصاني أبي بان أوصلكم رسالته وهو بخير وصحته جيدة ومعنوياته مرتفعة ويشكر كل من سأل عنه ويبشرك…,0,,msa
  ستبقى حلب ستنتصر حلب(فدعا ربه أني مغلوب فأنتصر)والله لتنصرن ولو بعد  حين ,0,,msa
و انت طيب يا شاعر يا رائع,0,,msa
نادى الاسير في  جنين يدعوا الى مساندة الاسرى الإداريين المضربين عن الطعام رفضا لسياسة الاعتقال الادارى الغير مبني …,0,,msa
 الإصلاح يدعو المجتمع الدولي لإسناد الحكومة الشرعية في كشف ومحاصرة بؤر الارهاب  يمن شباب الفضائية |  اليمن ,0,,msa
ما اجمل ليل القاهرة الساحرة مع موسيقى رائعة و كتاب شيق  مصر  لبنان  الإمارات,0,,egypt
في ناس واقفة بشوم عند الشوارع المؤدية للتحرير بتوقف الناس بشكل عشوائي وقفوا العربية ال قدامي واتجمهروا عليها بدون داع …,0,,egypt
حرية التعبير لا تتضمن التحريض على العنف و الفتنة الطائفية بل هو خطاب كراهية,0,,msa
 عمري في حياتي كلها ما اعتبرت اي شيء كتبته؛ كتابات ادبية.بوب ديلان ,0,,egypt
آه الناس حواليك بتحب مرسي وماله؟ بس مرسي ماهواش أغلى عند الناس دي من رزق عيالها ومن مستقبلها ولو حست إنه فاشل مش عارف يحل هتقلب عليه وعليك,0,,egypt
مرسي محبوس وخاين ومش هيرجع والتصالح مرفوض  السادة المحترمون …,0,,egypt
ثلاث سنوات و روحه معنا معياراً للمبادئ اللهم ارحم محمود عوض و أدخله فسيح جناتك,0,,msa
 ربنا يديك الصحه يااسطوره  عادل امام ,0,,egypt
اذا كانت رسالة البرنامج الوحيدة هي كشف التجارة بالدين و كشف قنوات الفتنة فده يكفينا، تاني، يتحرق البرنامج المهم البلد,0,,egypt
اتمنى ان تكون القوى الإسلامية والليبرالية واليسارية راغبة بالفعل في تشكيل قائمة وطنية موحدة لخوض الانتخابات البرلمانية القادمة  ,0,,msa
الذين اتهموا الثورة بانها مكنت الاخوان من مصر هؤلاء ننتظر منهم الان اعتذارا الثورة حررت إرادة الشعب فاختبر الاخوان وتخلص منهم الى الأبد,0,,msa
تنور !,0,,egypt
النهاردة ومرسي في القفص عرفت ان محافظ سوهاج لسه مسماش اكبر ميدان هناك باسم الشهيد الحسيني ابو ضيف لعل المانع خير يا ب…,0,,msa
خطاب الرئيس يعني أنه صار مجال يسمح لدبلوماسيتنا ودبلوماسيينا بلعب سياسة واستخدام أوراق الضغط المختلفة,0,,msa
 محمد علي خير  :قرار الرئيس  عدلي منصور بتحصين قرارات الحكومة من الطعن عليها أمام القضاء غير موفق  مساء الخير  ,0,,msa
 أحمد موسى معروف بقربه من  أمن الدولة | أخبار الموجز …,0,,msa
 اللهم انصر المسلمين المستضعفين و قوّي شوكتهم إلى يوم الدين ..  فلسطين  سوريا  العراق  اليمن  ليبيا  اراكان ,0,,msa
 من بريطانيا الى النمسا وايطاليا ثم لاحقا فرنسا اوربا تتجه نحو اليمين المتطرف .. يجب علينا ان نرصد ذالك ونعمله حساب . ,0,,msa
 كنا     بـ   ديمستوراصرنا بـ   لافروفاللهم اكفيناهم بما شئت ,0,,msa
مهما بلغت لحاجة وخلقنة غوتشي الا انها مازالت اشيائها انيقة ,0,,levant
اعرفوهم انقلاب مصر يسقط حكم العسكر  الداخلية بلطجية  شهداءالحرية   الشهيد محمد فتحي 20 عاماً  بني سويف,0,,msa
 نشط الأن في  لبنان  روحاني  لافروف ,0,,msa
     مؤتمر ناجح لحزب الوسط بالسويس وكلمة عصام سلطان التي قاطعها الحضور بالتصفيق عدة مرات,0,,msa
 محتاجة حد يخاف عليا مش أبقى خايفه معاه إليسا ,0,,egypt
  كلما اختلف اثنان او ثلاثة في الشرق يكون على حساب لبنان   استقلاليات  جبران توينيبعد قراءتك للصفحات الأولى من كتاب تويني تدرك من هو قاتله. ,0,,msa
صباح الخير عليكي يا مصر يا حلوة و لابسة جديد إن شاء الله هيكون أحسن يوم في اللي فات و كل اللي جاي أحلى,0,,egypt
ﻛﻞ عام و انتم بخير تعرفوا علي مظاهر فرحه عيد الفطر المبارك من خلال البوم صور ﻟﻴﻮﻡ العيد من جميع انحاء العالم,0,,msa
الحمد لله ان حقن دماء المصريين وأصلح بينهم وعقبال القوى السياسية 3,0,,egypt
الحل السياسي يهدف للبدء في بناء الاقتصاد ولا يعني التصالح مع من تورطوا في عنف  السادة المحترمون …,0,,egypt
 اه يالقهوه مٓ شاء الله😢❤️ حزب الاعاده ,0,,msa
 وقد كان ذلك مثالاً صارخاً للتداخل الذي حصل بين  الامم المتحدة و  الولايات المتحدة، وتعبيراً عن ملامح مرحلة جديدة اخذ تتبلور عالمياً ,0,,msa
  ستبقى حلب دولة الباطل ساعه ودولة الحق الاقيام الساعه ,0,,msa
من لا يعرف قدر المستشار مكي وقضاة الاستقلال الأجلاء عليه ان يعود الى معركتهم العظيمة في عام 2005 ضد نظام مبارك ليعرف دورهم التاريخي للوطن,0,,msa
حينما ينتصر الشعب ويشرق شمس الحرية بعد هذه الغيوم الانقلابيه يمكن ان يسترد ما سرق من  ثورة يناير,0,,egypt
 كفاية بعد عن ربنا دى النهاية قريبة,0,,egypt
 حاجة تستاهل الحمد كل حاجه ف حياتنا اكيد !!!,0,,egypt
اللهم لك الحمد حتى ترضى ولك الحمد اذا رضيت ولك الحمد بعد الرضا,0,,egypt
قصة كفاح حقيقية لشاب مصري من محافظة الفيوم، رغم إعاقته تحدي كل الظروف محمد الكيلاني محمود حميدة، أثناء طفولته,0,,egypt
إحنا عندنا ثقافة اعتياد للقبح، ثقافة اعتياد للقذارة، آردوغان قدر انه يبدأ نهضته بالنظافة، شيراك لما كان عمدة…,0,,msa
 بعد خطوبتهما ’  المغني الأميركي ريكي مارتن يعلن عن نيته الزواج من شريكه الفنان المولود في  سوريا جوان يوسف   مثليي الجنس ,0,,msa
 ليه بنخاف من الموت و هو الحاجه الحقيقيه في الدنيا ! ,0,,msa
  سوريا: مراسل الميادين:  خروج عدد من الحافلات من الأحياء الشرقية لمدينة حلب ,0,,msa
كريستيانو رونالدو يعتبر ثاني اكبر لاعب من ريال مدريد يفوز بالكرة الذهبية 31 سنة و 10 اشهر,0,,msa
  أسأل تويتسو لما ادخل في جوالي على جوجل واكتب مثلا سيرة شخص ما وعلى ويكيبيديا الحرة يحمل  ولما اخرج اجده يحمل  واسكر جوال  يروح تحميل ,0,,levant
رئيس يطبق الشريعة دون أن يكون مسلما ولايسير في مواكب مصفحة ولا يكذب على الناس بحركات إستعراضية ويفتح قصره للفقراء,0,,msa
تابعوا الدكتور عمرو حمزاوي على قناة الجزيرة مباشر في تمام الحادية عشر والنصف مساء,0,,msa
انا بكره الصبح مسافر ،مدايق وفرحان واحد يقولى الاتنين اقوله اه  افكار ع المخده,0,,egypt
ياباشمهندس لو الرقم اللي هم بينشروه عشان يبعتولك عليه تهديدات ده رقمك بجد، من حقك تبلغ الأمن الوطني يتتبع أتصالا…,0,,egypt
 انشر للفائده عشبه الجنسينج من اكثر الاعشاب فائده في تقويه الذاكره وزياده الاستيعاب والحفظ والتركيز يفضل استخدامها للطلاب ك…,0,,msa
حينما تجد الفرصة لاحتضان أمك أو تقبيل يد أباك فلا تضيعها فقد يأتي عليك وقت تحتاج لاحتضانهما أو تقبيلهما ولا تجدهما,0,,msa
رحمة الله على المناضل العظيم مصطفى عبد الجليل أحد أعمدة الثورة الليبية,0,,msa
أرشح صاحب هذا الحساب كأفضل مغرد لإفادتي في مجال ( لعبة 14)  تدوين,0,,msa
تكبيررررررررررررررررر مسيرة احرار  المعادى الان,0,,msa
سبحانك يالله وفي ساعة المطر تستجيب لدعواتنا،،،  عادل,0,,msa
ستظل ذكرى استشهاد البطل عبد المنعم رياض تخليدا لملحمة مضيئة من أنصع صفحات التاريخ المصرى ورمزا لبطولات معركة الاستنزاف تحية له فى ذكراه,0,,msa
 القصف الخاطئ الذي شاركت به طائرات من  الدنمارك و بريطانيا و استراليا استهدف  الجيش السوري في  دير الزور وفق التحقيق الاميركي ,0,,msa
 طقس العرب صايرة توقعاتهم دايما غلط 😒😒 ,0,,gulf
 حاجات بتفرح في مصر لمة رمضان,0,,egypt
افضل مباراة تنس شاهدتهابدون ترتيبفيدرر مونفيس امريكا2014فافرينكا نوفاك رولان2015فيدرر نوفاك امريكا2015نادال مونفيس مونتي كارلو2016,0,,msa
 تنفيذ اتفاق حلب المتعلق بخروج المسلحين وعائلاتهم من الاحياء الشرقية بالتزامن مع خروج مدنيين من كفريا والفوعة ,0,,levant
ألقاكم بعد ربع ساعة من الأن في برنامج (الحياة اليوم) على قناة الحياة، للحديث عن قضية الإساءة لرسولنا الكريم، صلى الله عليه وسلم,0,,msa
  الجيش السوري ينفذ كميناً لمسلحين حاولوا عبور منطقة   جباب الشعاير  في الريف الشمالي لـ  درعا باتجاه  اللجاة ما أسفر عن مقتل وجرح عدد منهم. ,0,,msa
 لماذا جبنة  كيري مربعة و ليست مثلثة ,0,,msa
اسماء شهداء الثورة  المجد للشهداء  ريتويت كتير جدا بقى,0,,msa
وبحبك يا  زمالك,0,,egypt
مرة أخري ولكي لا نحبط، انتخاب رئيس بالإعلان الدستوري المبتسر يحمل معه بذرة الخلاف بين السلطات دستور ديمقراطي جديد هو مفتاح مصر المستقبل,0,,msa
تطهير الداخلية الآن وفورا,0,,msa
جيل الوسط هو الذي شغلته أسئلة ومشكلات عصره باحثين عن الحقيقة,0,,egypt
اختيارلجنة المائة يجب أن يتم وفق معايير واضحة تراعي تمثيل كافة قطاعات المجتمع من رجال نساء عمال فلاحين مسلمين مسيحين وأهلنا في سيناء والنوبة,0,,msa
الاعتداء على الفنان خالد يوسف من قبل بلطجية ابو اسماعيل يدل على ان مرسي وجماعته قد انتقلوا بمصر من الدولة الى العصابة ستسقطون كما سقط مبارك,0,,msa
 ..كوريا وديبالا. أغويرو دعه يعتزل ياخي واذا رفض ميسي ومانع تخلص من ميسي . لكن الاتحاد يمنعه لان ميسي يتحكم بهم كلنا نعرف ذلك.يتبع ,0,,gulf
3 الدم المصري كله حرام، أدين الاعتداءات على مقار الإخوان والحرية والعدالة وكافة أشكال العنف، جميع الضحايا مصريون لا فرق بين إخواني وآخر,0,,msa
ابن مصر مفيش كلام  جدو  الاهلى  مبرووك,0,,egypt
  عادل امامالزعيم وكوميديان مصر الاول ,0,,msa
 وش صار على بوكيمون قو؟ ,0,,gulf
 في حاجة صح ان الجيش المصرى قوى ومتماسك,0,,egypt
 بي وجود جنرتل ميشال عون الله يحميك  جهزوا سواعدكم ,0,,levant
شاهد - آخر كلام: قراءة في رؤية ناعوم تشومسكي لسياسة الولايات المتحدة تجاه مصر  ,0,,msa
  القدس   في   خطر ,0,,msa
 معلومات وخبريات كتيرة تكشف عن  جبران تويني المرة الاولى بتقرير خاص في  هوا الحرية  مين قتل جبران؟ ,0,,levant
ابتسم فإن هناك من يحبك يعتني بك يحميك ينصرك يسمعك يراك هو الرحمن الرحيم,0,,msa
 المرصد المعارض:  الجيش السوري يتقدم في القسم الجنوبي من أحياء  حلب الشرقية ويسيطر على منطقة المعصرانية وعلى الأطراف الشرقية من حي باب النيرب ,0,,msa
إصرار الشعب التونسي على الوصول إلى الكيلومتر الأخير ثورة أخرى في حد ذاته وأهم درس من بين دروس كثيرة    ,0,,msa
تنمية محور قناة السويس يعد مشروعا قوميا  السادة المحترمون,0,,msa
أنا بعد ما عشت المعاناة السنادي لا يمكن أخلي ولادي يكرروها مالها صناعه !  ثانوية عامة,0,,egypt
تحذيرات قوات الأمن لسكان رابعة والمتظاهرين قبل فض الاعتصام  السادة المحترمون,0,,msa
  لافروف: الهدنة التي اقترحها مجلس الأمن أمس هي  استراحة للمسلحين  ,0,,egypt
البعض يواجه مشكلة في تغيير نسبة الإضاءة في نظام ويندوز 10المشكلة موجودة بكثرة قبل تحديث ميكروسوفت السنوي اللي صدر قبل فترة ليست بالطويلة.,0,,msa
أنا  أردني وأفتخر ببلادي 😌,0,,levant
انتهاكات الانقلاب القمعية فى جامعة الاسكندرية وصلت مداها باصابات واعتقالات انقذنا يا عزيز يا جبار من طغمة الاستعمار,0,,msa
انا بحب أخويا,0,,egypt
 🔹الثقافة القرآنية🌹✨🔘 استهداف الرسول الأكرم استهداف للأمة الإسلامية في اهم ركائز قوتها.💚ذكرئ.المولد.النبوي.الشريف ,0,,msa
 ترامب حاول يبرر فضيحته ب ان بيل كلنتون فضيحته اكبر منه ؛هيلاري تعجبني شخصية و قوة ثبات رهيبه 🌸 ,0,,msa
  الجيش السوري يستعيد مدينة  التل بريف دمشق بعد خروج المسلحين وتسليم اسلحتهم ,0,,msa
نقسم بالله العظيم على أن لا نعترف لحظة واحدة بالإنقلاب العسكري وأن لا نتوقف عن مقاومته و أن لا يهنئ أو يستقر حكم مصر للإنقلاب…,0,,msa
اللغة تراث,0,,msa
14. ايش بتقول  نوال الزغبي ؟,0,,gulf
إن كان من عادوا للتأسيسية يرون في هذا عملا وطنيا فهذا لهم ولا يحق لا لي ولا لغيري رغم اختلاف الموقف والتقدير المزايدة على وطنيتهم,0,,msa
  تشوركين ينتقد بشدة  فرنسا و  بريطانيا و  الولايات المتحدة ومواقفها من الوضع في  سورية ,0,,msa
لأننى احب مصر والثورة فانا افضل ان يصل خصومي السياسيون الى الحكم عن طريق انتخابات نزيهة عن ان يحكم انصاري السياسيون بدعم من الاستبداد,0,,msa
 الأمين العام لحلف شمال الأطلسي: على الاتحاد الأوربي و حلف الناتو تعزيز التعاون والتكامل من أجل مواجهة التحديات  الراية ,0,,msa
مصنع الرجال وعرين الأبطال صدعوا بكلمة الحق وجاهدوا بالنفس والمال  تعظيم سلام للاخوان المسلمين  حسن البنا …,0,,msa
صحفي ألماني يروي تفاصيل ليلة مرعبة من التعذيب والإهانة بين المعتقلين المصريين في الأقسام والسجون,0,,msa
رحم الله السيد منصور حسن ، غفر الله له وألهم أسرته الصبر والسلوان,0,,msa
كونوا على يقين أن هناك شيء ينتظركم بعد الصبر ليبهركم فينسيكم مرارة الألم و الحزن و التضحيات,0,,msa
كيف تختار البطيخة الحلوة و الجيدة😘  غرد بمعلومة  غرد بصورة,0,,msa
ﻭﺍﻗﻮلك ﺍﻳﻪ ﻃﺮﻳﻖ ﺍﻟﻜﺮﻩ ﺍﺧﺮﺗﻪ ﺍﻳـﻪ ﻭﻫﻲ ﻗﻠﻮﺑﻨﺎ ﻣﺎﺗﺖ ﻟﻴﻪ ﻟﻔﻴﻦ ﻫﻨﺮﻭﺡ ﻣﺎ ﺑﻴﻨﺎ ﺷـﻴﻄﺎﻥ ﺍﻣﻠﻨﺎ ﻳﺎﻭﻃﻦ ﺧﻠﺼﺎﻥ ﻣﺤﺪﺵ ﻓﻴﻨﺎ ﻣﺶ ﺧﺴﺮﺍﻥ ﻭﻻ ﻣﺠ…,0,,egypt
دراسه عن التاريخ السرى لجماعه الاخوان المسلمين تحت عنوان الاغتيال منهج حياه من دراسه الكاتب  يوسف الحسينى اكتر من رائع…,0,,msa
عاجل *الدنمارك تقرر سحب مقاتلات إف-16 من التحالف الذي تقوده  الولايات المتحدة. مدري شرد اكول وما ايامكم الا عدد عايشين بزمن,0,,msa
  الجمعيات والمؤسسات الأهلية  تملأ دول العرب من المحيط للخليج وتمولها  الولايات المتحدة ودول  الإتحاد الأوروبي، لماذا؟ ,0,,msa
أياكس يسعى لخطف الموهبة المغربية الأصل  مستور  من معقل ميلان  ميلان  اياكس,0,,msa
بلغ التدني بالبعض حد وضع صورتي واسمي على حسابات تويتر مزيفة وإستخدامها للتطاول على حبيبتي وزوجتي وللخوض في عرضي، وتداولها عبر مواقع غير جادة,0,,msa
مذبحة ميدان رابعه العدويه جريمه نكراء وسيحاسب الشعب المصري مرتكبيها  رابعه العدويه,0,,msa
متش ناااااااااااار..... فينك يا ميسى 󾍀 - يشاهد مباراة الارجنتين وباراجواي,0,,egypt
 خلق جميل الاحسان الى الجار,0,,msa
شعب مصر الالفية واع وشجاع ولا يخدعه الاعلام ليس هو شعب جمال عبد الناصر الذى خدعوه بهيكل واعلامه,0,,msa
يوسف الحسينى يتابع منذ ايام مايحدث للاقباط فى دلجا ويطالب المسؤولين بالتدخل واليوم سيطرت الشرطه والجيش …,0,,msa
 مسؤول في الخارجية التركية: وزراء الخارجية التركي والروسي والإيراني سيجتمعون في موسكو يوم غدا لاستئناف المحادثات بشأن  حلب ,0,,msa
اليوم السابع | سلاسل بشرية لأنصار  حمدين صباحى بـ  السويس لتأييده للرئاسة,0,,msa
لجنة فاروق أبوزيد مثال صارخ لنظام يقوم على وأد الحريات سنكسر حاجز الخوف  ,0,,egypt
 الواد احمد الشيخ شغال زى النحلة يا جدعان مبيقفش ما شاء الله  مش ممكن والله كدا ,0,,egypt
هدير طلاب الجامعة يشكل فيضانا لن توقفه سدود الانقلاب الشرعية ستعود ان شاء الله,0,,msa
الواحد كل لما يركب مترو ويجي ينزل منه بيبقي نفسه يكتب ع المترو وهو خارج البؤساء,0,,egypt
فيسبوك هيستوري دي هتبقي حاجه مرعبه كمان 20،30 سنه .. لما تلاقي هيستوري ليك بالبعد الزمني ده هيبقي الوضع مأسوي والله,0,,egypt
  عاجل  الغوطة الشرقية: الجيش السوري استهدف قبل قليل مواقع للمجموعات الإرهابية في بلدة  الزريقة بعدة ضربات مدفعية. ,0,,msa
إن ذكر الرحمن يُذهب الأحزان  أحبك ربي,0,,msa
مراسلنا من  الاسكندرية :  صدقى صبحى :  القوات المسلحة ستظل دائما  الدرع الواقية لهذا  الشعب العظيم,0,,msa
أخشى أن الضرر و الدمار الناتج من طريقة و أسلوب إدارة البلاد منذ الثورة حتى الآن لن يمكن إصلاحه !,0,,msa
انا  مسلم وبفتخر,0,,msa
واضح من كلام الناس ان مدرب الارجنتين بوذا .. اسوأ من تاتا مارتينو المدرب ده اول ما لاعب ميسي وهو عارف انه مصاب قولت عليه ملوش فيها,0,,egypt
يَوْمَ يَفِرُّ ٱلْمَرْءُ مِنْ أَخِيهِ * وَأُمِّهِ وَأَبِيهِ * وَصَٰحِبَتِهِ وَبَنِيهِ * لِكُلِّ ٱمْرِىءٍ مِّنْهُمْ,0,,msa
صدور قانون تشكيل الأحزاب دون أي حوار ونفس الحال بـالنسبة لقانون مباشرة الحياة السياسية يقلص مضمون أي حوار وطني ويفقده جانب كبير من مصداقيته,0,,msa
شكرا لكل من شارك في البرنامج انتم شركاء في هذه الفرحة احسن فريق اعداد و اخراج و انتاج و كتابة فخور بشغلي معاكم,0,,egypt
الحمد لله تملأ الميزان,0,,msa
أثبتت تجارب علمية أن مضموناً كالذي يقدمه رامز جلال يفسد الأطفال و ينخفض بمستوى ذكائهم و لهذا تمنعه دول متحضرة,0,,msa
 نعم ستظل  بنغازي قلب  ليبيا النابض شاء من شاء ,0,,msa
المجلس العسكري يعيد إنتاج مصطلحات صفوت الشريف وأنس الفقي من جديد وكأن المطلوب تكميم الأفواه  ,0,,msa
 مين اللي انا عنها حكيت ماتقولي يالله ياريت انا اموت انا ناقص اقولك انا 😰✨💕 لو اقولك  اليسا ,0,,egypt
الا غصب يخلون ميسي هو صانع امجاد الارجنتين,0,,msa
احناا الصوت ساعة لما تحبو الدنيا سكوت  كاريوكى,0,,egypt
 بعد جلسة الجمعيه العامه للامم المتحده من اجل مساعدة ارهابيي جبهة النصره في حلب والاستماته في اخراجهم منها نستطيع القول العالم يتكلم ارهآب ,0,,msa
 ناجح إبراهيم:  ثورة يناير  فككت  الدولةوالفيوم وبني سويف معاقل للفكر التكفيري  أخبار  مصر,0,,msa
 أمير قطر السابق يشارك في جنازة  كاسترو و يشكره على مواقفه التاريخية بموضوعي  فلسطين و ثورة  الجزائر..طيب نحنا على شو فينا نشكر سمّوه؟! ,0,,gulf
حرب مغردا: صديقي جبران تويني ١١ سنة على غيابك وما زلت ملتزما بالمبادئ التي استشهدت من اجلها، والوطن الذي حلمت به هو الوطن الذي نعمل من اجله,0,,msa
الابتذال ملا الشوال!  شبرا  القاهرة  مصر  افريقيا  كوكب الارض  مجرة درب التبانة | شبرا,0,,egypt
لا تجعل الطريق يأخذك حيثما يتجه بل إذهب حيث لا يوجد طريق و اترك آثارك,0,,msa
 اللهم فرج همهم اللهم اهلك عدوهماللهم نفس كربهم اللهم انصرهم اللهم امين🌷 ستبقي حلب شامخة✌️  الدعاء لك ياحلب ,0,,msa
 بدوره المجتمع الدولي و  الأمم المتحدة في جلسه الان قال مسؤول الامم المتحده للاغاثه ان المجتمع الدولي غير قادر على انهاء مأساه حلب ,0,,msa
عندى قمر بسهر معاه :) عندى معاد وحبيبى لغاه :( —  كاريوكى,0,,egypt
صورة من كواليس إحدى حلقات برنامج (قصة الأندلس) المنتظر عرضه في رمضان القادم يمكنك مشاهدة برومو البرنامج على,0,,msa
 كتير ب  لبنان عم يقولوا ان الحكومة الجديدة ل  المستقبل إدارتها ول  حزب الله قرارها! ,0,,levant
وظني بك يارب ظناً جميلاً   جمعة مباركة,0,,msa
 خلق جميل الشعور بالغير,0,,msa
بعد دقائق يتحدث حبيبنا دعبد المنعم أبو الفتوح على قناة الحياة عن رؤيته للاوضاع الاخيرة فى مصر ومسقبل البلد,0,,msa
 القصيدة خذيهاأو خذينيودعي لهم الورقة. أحمد الشيخ علي ,0,,msa
وصلت صالة 5 في هذه الساعة المتأخرة. أخذت  أوبر شاب مواطن، لطف ومهنية، سيارته نظيفة، وقدم قارورة ماء.الله يحفظه لأهله، ويبارك له في رزقه.,0,,egypt
ربي بلغنا رمضان من غير أن نرى دمعة حبيب، ولا فراق غالي، ولا استمرار مرض لقريب، اللهم بلغنا رمضان لا فاقدين ولا مفقودين رمضان كريم,0,,msa
4 أناشد الجميع الابتعاد عن الاقتتال الأهلي والالتزام بالتعبير السلمي عن الرأي، لا تفرضوا لون الدماء على الميادين والشوارع المصرية، انتبهوا!,0,,msa
 ماهر فخامة الاسم تكفى,0,,msa
  مبارك سحبه مرتين بالفعل راجع معلوماتك,0,,egypt
 حلب  القلعة والأصالة باتت عاصمة للصمود وواثقون بقدرة أهل الشهباء على الصمود والتصدي  ستكون حلب المسمار  الذي سيدق في نعش الكفرة  ستبقي حلب ,0,,msa
 اللي ما تاخذها بخشم البندقة والله مانك واخذها بالسياسة ..للمهرولين نحو الحوار مع ثوار الناتو من الخضر . ,0,,levant
